"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"news:WORKPERMIT_FIRST","Immigrants Taking Jobs From Locals","Enmigrantoj Prenante Oficojn El Lokuloj"
"news:KOLECHIA_COMPLAINS_SEARCH","Kolechian Leader Files Complaint","Kolehxia Estro Registras Plendon"
"news:KOLECHIA_COMPLAINS_SEARCH","Claims Unprovoked Border Searches Violate Rights","Asertas ke Neprovokitaj Landlimaj Sercxoj Malobservas Rajtojn"
"news:AFTER_SUICIDE_BOMBER","Another Attack At Grestin Checkpoint!","Alia Atako Cxe Grestino Kontrolpunkto!"
"news:AFTER_SUICIDE_BOMBER","Suicide Bomber Slips Through Security","Sinmortiga Bombisto Sxteliras Tra Sekurecon"
"news:GENERIC_BOMBER","Grestin Suffers Another Border Attack","Grestino Suferas Alian Landlimo-Atakon"
"news:GENERIC_BOMBER","Suicide Bombings Becoming Routine","Sinmortigo-Bombajxoj Igxante Routina"
"news:PIMP_BUSTED","Human Trafficking Ring Shut Down!","Komercajxo Per Homoj Fermigxis!"
"news:PIMP_BUSTED","Grestin Checkpoint Officer Nabs Mastermind","Grestino Kontrolpunkta Funkciulo Kaptas Instiginton"
"news:PIMP_ESCAPED","Dancers At Grestin Club Found Dead!","Danculojn Cxe Grestina Noktoklubo Trovis Mortaj!"
"news:PIMP_ESCAPED","Newly Immigrated Girls Victims Of Human Trafficking","Laste Enmigrintinoj Viktimoj de Komercajxo Per Homoj"
"news:KILLERATHLETE","Republian Track Star Wanted For Murder!","Fama Respublikia Kuristo Sercxata Pro Murdo!"
"news:KILLERATHLETE","Vince Lestrade's Whereabouts Unknown - Has Likely Fled Republia","Loko de Vince Lestrade Nekonata - Versaxjne  Flugxis El Respublikio"
"news:KILLERATHLETE","Vince Lestrade: Profile","Vince Lestrade: Profilo"
"news:KILLERATHLETE","Girlfriend Killed In Jealous Rage?","Koramikinon Mortiginta Dum Jxalusa Kolerego?"
"news:KILLERATHLETE_DETAINED","Vince Lestrade Apprehended In Grestin!","Vince Lestrade Kaptita En Grestion!"
"news:KILLERATHLETE_DETAINED","Track Champ Looks Quite Guilty Now","Kurada Cxampiono Sxajnas Tre Kulpa Nun"
"news:KILLERATHLETE_APPROVED","Vince Lestrade Spotted in Arstotzka","Vince Lestrade Rimarkigxis en Arstotzkio"
"news:KILLERATHLETE_DENIED","Vince Lestrade Apprehended In Kolechia!","Oni kaptis Vince Lestrade En Kolehxio!"
"news:DIPLOMAT_FIRST","Kolechia Sends Top-Level Diplomat","Kolehxio Sendas Altnivelan Diplomaton"
"news:DIPLOMAT_FIRST","Normalizing Trade Top Issue","Normaligiante Komercon Plej Alta Demando"
"news:BUSTED_SPY","Top-level Kolechian Exposed as Arstotzkan Spy!","Altnivela Kolehxiano Malkasxigxis<br>Kiel Arstotzkia Spiono!"
"news:BUSTED_SPY","Missing From Post, Presumed Dead","Mankanta El Posteno, Supozita Morta"
"news:BUSTED_SPY_GAVEREALDOCS","Kolechia Cleans House - Eliminates Arstotzkan Spies","Kolehxio Purigas - Eliminas Arstotzkiajn Spionojn"
"news:BUSTED_SPY_GAVEREALDOCS","Heroic Agents Compromised","Heroaj Agentoj Kompromitigxis"
"news:BUSTED_SPY_GAVEFAKEDOCS","Kolechia Cleans House - Attacks Its Own!","Kolehxio Purigas - Atakas Sian Propran!"
"news:BUSTED_SPY_GAVEFAKEDOCS","Round Of Disappearances Blamed On Faulty Evidence","Oni Kulpigis Misajn Evidentajxojn Por Serio Da Malaperajxoj"
"news:FORGERY_NEWS","Theft At Ministry Of Admission!","Sxtelo Cxe Ministrejo de Enlaso!"
"news:FORGERY_NEWS","Limited Effects - Few Items Stolen","Limitaj Efikoj - Malmultajn Aferojn Sxtelis"
"news:SECRET_SOCIETY","The History of Arstotzka","La Historio de Arstotzkio"
"news:SECRET_SOCIETY","In Pictures and Words - Mostly Words","Per Bildoj Kaj Vortoj - Plejparte Vortoj"
"news:CRIMINAL_ACTIVITY","A Criminal's Safe Haven","Sekurejo Por Krimulo"
"news:CRIMINAL_ACTIVITY","Arstotzka Earns Dubious Reputation","Arstotzkio Gajnas Malbonan Reputacion"
"news:LOSING_GUARDS","Ministries Fight Over Staff","Ministrejoj Batalas Pri Stabo"
"news:LOSING_GUARDS","Qualified Guards, Soldiers In Demand","Tauxgajn Gardistojn, Soldatojn Bezonas"
"news:LOSING_GUARDS","Consolidation, Reassignment At Border","Malpliigxo, Miksagxo Cxe Landlimo"
"news:LOSING_GUARDS","Still Safe With Smaller Detail?","Ankoraux Sekura Kun Malpli Granda Gardistaro?"
"news:RUNNER_AFTER_TRANQ","Grestin Incident Highlights Security Risks","Grestino Okazo Emfazas Sekurajn Riskojn"
"news:RUNNER_AFTER_TRANQ","Further Breaches Predicted","Pli Da Brecxhoj Antauxdiris"
"news:BIKE_ATTACK","Daring Bike Attack At Grestin Checkpoint!","Auxdaca Bicikla Atako Cxe Grestino Kontrolpunkto!"
"news:BIKE_ATTACK","Extremists Growing Bolder - Grestin Like Magnet","Ektremistoj Plisentimigxas - Grestion Kiel Magneto"
"news:BORDER_TARGETED","Can The Wall Hold?","Cxu La Muro Povas Elteni?"
"news:BORDER_TARGETED","Border Safety Continually Questioned","Landliman Sekurecon Disputadas"
"news:BIKERUNNER_NEWS","Coordinated Border Breach!","Kunlaboranta Landlimo Brecxo!"
"news:BIKERUNNER_NEWS","Unknown Assailants Swamp Security","Nekonataj Atakantoj Inundas Sekurecon"
"news:NOSY_JOURNALIST_APPROVED","Arstotzka's Frail Border","Debila Landlimo de Arstotzkio"
"news:NOSY_JOURNALIST_APPROVED","United Fed Reporter Exposes Lax Protocols","Unuigxinta Feda Raportisto Malkasxas Malstriktajn Protokolojn"
"news:NOSY_JOURNALIST_DENIED","Arstotzka's Iron Border","Fera Landlimo de Arstotzkio"
"news:NOSY_JOURNALIST_DENIED","Int. Media Reveals Entry Visa Bias","Internacia Gazetaro Montras Eniro-Vizan Antauxjugxon"
"news:IDSUPPLEMENT_INTRO","Another Bomber Slips Through!","Alia Bombisto Trasxtelas!"
"news:IDSUPPLEMENT_INTRO","Immigrant Screening Falls Short","Enmigranta Kontrolado Nesuficxas"
"news:IDSUPPLEMENT_INTRO","M.O.A. Gets New Director","M.D.E. Havigas Novan Direktoron"
"news:IDSUPPLEMENT_INTRO","Stricter Protocols Promised at Border","Pli Striktajn Protokolojn Promesas Cxe Landlimo"
"news:WHISTLEBLOWER_SETUP0","Antegria Domestic Spying Exposed!","Antegria Enlanda Spionado Malkasxita!"
"news:WHISTLEBLOWER_SETUP0","Whistleblower On The Run","Malkasxulo Ankoraux Nekaptita"
"news:WHISTLEBLOWER_SETUP1","Antegrian Whistleblower Denied Asylum In Republia","Azilon En Respubliko Rifuzis Al Antegria Malkasxulo"
"news:WHISTLEBLOWER_SETUP2","Antegrian Whistleblower Turned Away From United Fed","Antegria Malkasxulo Forsendis El Unuigxinta Fedo"
"news:WHISTLEBLOWER_COMING","Antegrian Whistleblower Accepted By Arstotzka","Antegrian Malkasxulon Akceptis Per Arstotzkio"
"news:WHISTLEBLOWER_COMING","Move Risks Angering Neighbors","Ago Riskas Kolerigi Najbarojn"
"news:WHISTLEBLOWER_IN","Antegrian Whistleblower Arrives - Disappears Immediately","Antegria Malkasxulo Alvenas - Tuj Malaperas"
"news:WHISTLEBLOWER_OUT","Antegrian Whistleblower Turned Away - Whereabouts Unknown","Antegrian Malkasxulon Forsendis - Kieo Nekonata"
"news:IMPOR_UNHAPPY","Impor Protests Unbalanced Trade Restrictions","Imporio Protestas Malegalajn Komercajn Restriktojn"
"news:IMPOR_UNHAPPY","Claims Arstotzka Unfairly Taxes Imporian Goods","Asertas Arstotzkio Malgusxte Impostas Imporiajn Varojn"
"news:IMPOR_SANCTIONS_START","Impor Begins Trade Sanctions!","Imporio Komencigas Komercajn Sankciojn"
"news:IMPOR_SANCTIONS_START","Immediately Restricts All Imports From Arstotzka","Tuj Restriktas Cxiujn Importajxojn De Arstotzkio"
"news:IMPOR_SANCTIONS_END","Impor Sanctions End!","Imporiaj Sankcioj Finigxis!"
"news:IMPOR_SANCTIONS_END","Over So Fast? What Happened?","Finita Tiom Rapide? Kio Okazis?"
"news:SURGERY_SETUP","Breakthrough Spinal Surgery Perfected","Trarompan Spinan Kirurgion Perfektis"
"news:SURGERY_SETUP","Only Possible With Arstotzkan Expertise","Nur Eblas Kun Arztotskia Sperto"
"news:VIRUS_PRIMER","Polio Resurfaces In United Fed","Polio Reaperas En Unuigxinta Fedo"
"news:VIRUS_PRIMER","Isolated Diagnosis Or Something More?","Izolita Diagnozo Aux Io Plia?"
"news:VIRUS_BAN_UNITED_FED","Full-blown Epidemic Threatens United Fed!","Plenforma Epidemio Minacas Unuigxinta Fedon!"
"news:VIRUS_BAN_UNITED_FED","Previously Under Control, Polio Back With Vengeance","Antauxe Regita, Polio Furioze Ekflamas"
"news:VIRUS_REQUIRE_CERT","Ministry of Health Acts To Protect Citizens","Ministrejo de Sano Agas Tiel, Ke Protekti Civitanojn"
"news:VIRUS_REQUIRE_CERT","New Policy, Safeguards At Borders","Nova Politiko, Sekuriloj Cxe Landlimoj"
"news:SERIAL_KILLER","Serial Child Killer Escapes United Fed Prison!","Seria Infanmurdisto Eskapas U-Fedan Malliberejon!"
"news:SERIAL_KILLER","Simon Wens: An Arstotzkan Native - Returning Home?","Simon Wens: Arstotzkiano - Revenos Hejmen?"
"news:SERIAL_KILLER_MURDERED","Bloody Scene In Gennistora!","Sangplena Sceno En Gennistoro!"
"news:SERIAL_KILLER_MURDERED","Simon Wens Found Dead In Confusing Mess","Simon Wens Trovigxis Morta En Konfuzata Hxaoso"
"news:EZIC_ATTACK0","Grestin Metro Halted","Grestinan Metroon Haltigis"
"news:EZIC_ATTACK0","Tunnel Cave-in, Hints At Sabotage","Tunelo Kavigxo, Sugestas Sabotadon"
"news:EZIC_ATTACK1_GIFT","Gov't Headquarters In Paradizna Evacuated!","Estrarejon En Paradizno Evakuis!"
"news:EZIC_ATTACK1_GIFT","Strange Gas Detected - Staff Safe, Records Missing","Strangan Gason Rimarkis - Stabo Sekura, Mankas Registrojn"
"news:EZIC_ATTACK1_NOGIFT","Head Minister Of Finance Missing!","Cxefa Ministro de Financo Malaperis!"
"news:EZIC_ATTACK1_NOGIFT","Markets React With Fast Selling, Instability","Merkatoj Reagas Per Rapida Vendado, Malstabileco"
"news:POISONING","Mysterious Poison Hospitalizes Several!","Mistera Veneno Enhospitaligas Plurajn!"
"news:POISONING","Unnamed Immigrant Smuggles Deadly Agent","Sennomita Enmigranto Kontrabandas Letalilon"
"news:MARKED_DIPLOMAT","Top-Level Talks Called","Altnivelan Diskutojn Vokis"
"news:MARKED_DIPLOMAT","Grestin Territory Remains Dividing Issue","Grestina Teritorio Restas Dividan Demandon"
"news:DIPLOMAT_SWAPPED","Kolechians Are Crazy","Kolehxianoj Estas Frenezaj"
"news:DIPLOMAT_SWAPPED","Bizarre Behavior From Top Negotiator Spoils Talks","Bizara Konduto de Alta Negocisto Ruinigas Diskutojn"
"news:DIPLOMAT_ORIGINAL","A Tentative Understanding","Provizora Interkonsento"
"news:DIPLOMAT_ORIGINAL","Kolechian Talks Establish Common Ground","Kolehxiaj Diskutoj Estigas Komunan Teron"
"news:TALKS_BREAK_DOWN","Roadblock To Kolechian Resolution","Obstrukcio al Kolehxia Solvo"
"news:TALKS_BREAK_DOWN","Contested City Drives Wedge","Kontestita Urbo Dividas Ambaux Partiojn"
"news:BORDER_CLOSING","Grestin Checkpoint Future Uncertain","Estonteco de Grestina Kontrolpunkto Malcertas"
"news:BORDER_CLOSING","Too Open, Too Soon?","Tro Malfermita, Tro Frue?"
"text:language_code","en","eo"
"text:language_name","ENGLISH","ESPERANTO"
"text:language_author","Author","Ben Speakmon"
"text:wrap_hyphen","-","-"
"text:created_by","created by Lucas Pope","verkita de Lucas Pope"
"text:papers_please","Papers, please.","Paperoj, bonvolu."
"text:protocol_violated","Protocol Violated.","Protokolo estis malobservita."
"text:unauth_confiscation","Unauthorized passport confiscation","Konfisko de malpermesita pasporto"
"text:missing_reason","Denial reason not given","Nea kialo ne ekzistas"
"text:citation_warning","WARNING ISSUED - NO PENALTY","AVERTON ELDONIS - NENIA PUNO"
"text:citation_lastwarning","LAST WARNING - NO PENALTY","FINA AVERTO - NENIA PUNO"
"text:citation_penalty","PENALTY ASSESSED - $0 CREDITS","PUNON TAKSIS - $0 KREDITOJ"
"text:border_next","NEXT!","SEKVA!"
"text:border_bomber","FOR KOLECHIA!","POR KOLEHXIO!"
"text:border_comeback","COME BACK AT 6AM TOMORROW","REVENU JE LA 6ATM MORGAUX"
"text:border_announce0","ENTRY IS NOT GUARANTEED","ENIRO NE ESTAS GARANTIITA"
"text:border_announce1","HAVE YOUR DOCUMENTS READY","FARU PRETA VIAJN DOKUMENTOJN"
"text:border_announce2","ARSTOTZKA WELCOMES YOU","ARSTOTZKIO BONVENIGAS VIN"
"text:border_guardout","OUT!","ELIRU!"
"text:border_elisa","ELISA!","ELISA!"
"text:family_son_budget","SON","FILO"
"text:family_wife_budget","WIFE","EDZINO"
"text:family_niece_budget","NIECE","NEVINO"
"text:family_uncle_budget","UNCLE","ONKLO"
"text:family_mil_budget","MIL","MIL"
"text:family_son_status","Son","Filo"
"text:family_wife_status","Wife","Edzino"
"text:family_niece_status","Niece","Nevino"
"text:family_uncle_status","Uncle","Onklo"
"text:family_mil_status","Mother-in-law","Bopatrino"
"text:family_son_message","son","filo"
"text:family_wife_message","wife","edzino"
"text:family_niece_message","niece","nevino"
"text:family_uncle_message","uncle","onklo"
"text:family_mil_message","mother-in-law","bopatrino"
"text:night_endof","END OF","FINO DE"
"text:night_day","DAY $0","TAGO $0"
"text:family_verysick_1","Your $0 will die without medicine.","Via $0 mortos sen medikamento."
"text:family_verysick_many","Very sick family members will die without medicine.","Tre malsanaj familianoj mortos sen medikamentoj."
"text:family_sick_1","Your $0 is sick and needs medicine.","Via $0 estas malsana kaj bezonas medikamenton."
"text:family_sick_many","Your family needs medicine.","Via familio bezonas medikamenton."
"text:family_died_1","Your $0 has died.","Via $0 mortis."
"text:family_died_2","Your $0 and $1 have died.","Via $0 kaj $1 mortis."
"text:family_died_3","Your $0, $1, and $2 have died.","Via $0, $1, kaj $2 mortis."
"text:family_died_4","Your $0, $1, $2, and $3 have died.","Via $0, $1, $2, kaj $3 mortis."
"text:family_died_5","Your $0, $1, $2, $3, and $4 have died.","Via $0, $1, $2, $3, kaj $4 mortis."
"text:family_escape_with_0","You leave behind everything.","Vi forlasas ĉion."
"text:family_escape_with_1","You gather your $0 to leave for Obristan.","Vi amasigas vian $0n por iri al Obristio."
"text:family_escape_with_2","You gather your $0 and $1 to leave for Obristan.","Vi amasigas vian $0n kaj $1n por iri al Obristio."
"text:family_escape_with_3","You gather your $0, $1, and $2 to leave for Obristan.","Vi amasigas vian $0n, $1n, kaj $2n por iri al Obristio."
"text:family_escape_with_4","You gather your $0, $1, $2, and $3 to leave for Obristan.","Vi amasigas vian $0n, $1n, $2n, kaj $3n por iri al Obristio."
"text:family_escape_with_5","You gather your $0, $1, $2, $3, and $4 to leave for Obristan.","Vi amasigas vian $0n, $1n, $2n, $3n, kaj $4n por iri al Obristio."
"text:family_escape_without_1","Your $0 prepares to return to Nirsk.","Via $0 preparas reiri al Nirsko."
"text:family_escape_without_2","Your $0 and $1 prepare to return to Nirsk.","Via $0 kaj $1 preparas reiri al Nirsko."
"text:family_escape_without_3","Your $0, $1, and $2 prepare to return to Nirsk.","Via $0, $1, kaj $2 preparas reiri al Nirsko."
"text:family_escape_without_4","Your $0, $1, $2, and $3 prepare to return to Nirsk.","Via $0, $1, $2, kaj $3 preparas reiri al Nirsko."
"text:family_escape_without_5","Your $0, $1, $2, $3, and $4 prepare to return to Nirsk.","Via $0, $1, $2, $3, kaj $4 preparas reiri al Nirsko."
"text:family_flee_final_0","Obristan Above All","Obristio Antaŭ Ĉio"
"text:family_flee_final_1","The safety of your $0 is unknown.","La sekureco de via $0 estas nekonata."
"text:family_flee_final_2","The safety of your $0 and $1 is unknown.","La sekureco de via $0 kaj $1 estas nekonata."
"text:family_flee_final_3","The safety of your $0, $1, and $2 is unknown.","La sekureco de via $0, $1 kaj $2 estas nekonata."
"text:family_flee_final_4","The safety of your $0, $1, $2, and $3 is unknown.","La sekureco de via $0, $1, $2, kaj $3 estas nekonata."
"text:family_flee_final_5","The safety of your $0, $1, $2, $3, and $4 is unknown.","La sekureco de via $0n, $1n, $2n, $3n, kaj $4n estas nekonata."
"text:budget_savings","SAVINGS","SPARAĴO"
"text:budget_salary","SALARY ($0)","SALAJRO ($0)"
"text:budget_penalties","PENALTIES ($0)","PUNOJ ($0)"
"text:budget_bribes","BRIBES","SUBAĈETOJ"
"text:budget_rent","RENT","LUPREZO"
"text:budget_food","FOOD","MANĜOJ"
"text:budget_heat","HEAT","HEJTILO"
"text:budget_medicine","MEDICINE ($0)","MEDIKAMENTOJ ($0)"
"text:budget_sleep","SLEEP","DORMO"
"text:budget_escape","ESCAPE","ESKAPO"
"text:menu_back","BACK","ANTAŬ"
"text:confirm_ok","OKAY","BONE"
"text:confirm_cancel","CANCEL","NULIGI"
"text:menu_mainmenu","MAIN MENU","ĈEFA MENUO"
"text:menu_resume","RESUME","DAŬRIGI"
"text:menu_quit","QUIT","ELIRI"
"text:menu_done","DONE","FINITA"
"text:menu_story","STORY","RAKONTO"
"text:menu_endless","ENDLESS","SENFINA"
"text:menu_play","PLAY","LUDI"
"text:menu_fullscreen","Fullscreen","Plenekrana"
"text:menu_nudity","Nudity","Nudeco"
"text:menu_easy","Easy Mode","Facila Reĝimo"
"text:menu_music","Music","Muziko"
"text:menu_sound","Sound","Sono"
"text:menu_dateformat","Date Format","Data Aranĝo"
"text:menu_language","Language","Lingvo"
"text:menu_easytip","+ 20 credits per day","+ 20 kreditoj ĉiutage"
"text:menu_stats","STATS","STATISTIKO"
"text:menu_next","NEXT","SEKVA"
"text:menu_walktowork","WALK TO WORK","PIEDIRI AL LABORO"
"text:menu_paused","PAUSED","PAŬZIGITA"
"text:menu_settings","SETTINGS","AGORDOJ"
"text:menu_credits","CREDITS","AGNOSKOJ"
"text:menu_checkforupdates","CHECK FOR UPDATES","KONTROLI POR GXISDATOJ"
"text:stats_text","Played for $time
$processed travelers processed
$approved approved
$denied denied
$detained detained
$citations citations earned
$stamps stamps applied
Ending $endnum of $endtotal","Luita dum $time
$processed vojaĝantojn traktis
$approved aprobita
$denied malaprobita
$detained malliberigita
$citations imputojn gajnis
$stamps stampojn afiŝis
Finoj $endnum de $endtotal"
"text:steam_noinit","STEAM CONNECTION FAILED

If this problem persists, re-install the Steam client.","STEAM MALKONEKTITA

Se tiu problemo daŭras, reinstalu la Steam-klienton."
"text:steam_restartfailed","STEAM RESTART FAILED

If this problem persists, re-install the Steam client.","STEAM RESTARTIGO MALSUKCESIS

Se tiu problemo daŭras, reinstalu la Steam-klienton."
"text:steam_noconnect","STEAM CONNECTION FAILED

The game will attempt to restart through the Steam client.","STEAM MALKONEKTITA

La ludo klopodos restartigi per la Steam-kliento."
"text:steam_restart","RESTART","RESTARTIGI"
"text:load_title","Select day to continue or start a new game","Elektu tagon por daŭri aŭ komencigu novan ludon"
"text:load_confirm_delete_single","Delete this day $0 save?

There is no undo.","Forigi tiun tago-$0an konservaĵon?

Ne eblas malfari."
"text:load_confirm_delete_multi","Delete this save branch from day $0 to day $1?

There is no undo.","Forigu tiun konservo-serion de tago $0 al tago $1?

Ne eblas malfari."
"text:load_delete","DELETE","FORIGI"
"text:load_confirm_full","Save tracks full.

Continue from a right-most save or delete a save branch to free up a track.","Konservingoj jam plenas.

Daŭru de iu plej dekstra konservaĵo aŭ forigu konservo-serion por liberigi konservingon."
"text:load_summary","Day $day
""$news""

$savings credits, $family family members,
$tokens tokens, apartment $apt","Tago $day
""$news""

$savings kreditoj, $family familianoj,
$tokens ĵetonoj, apartamento $apt"
"text:load_continue","CONTINUE","DAŬRIGI"
"text:emotion_happy","HAPPY","FELICXA"
"text:emotion_ok","OK","BONE"
"text:emotion_sad","SAD","MALFELICXA"
"text:emotion_cold","COLD","MALVARMA"
"text:emotion_sick","SICK","MALSANA"
"text:emotion_verysick","VERY SICK","TRE MALSANA"
"text:emotion_dead","DEAD","MORTA"
"text:emotion_hungry","HUNGRY","MALSATA"
"text:load_latest","LATEST","PLEJ LASTA"
"text:entry_approved","ENTRY GRANTED","ENIRO PERMESITA"
"text:entry_denied","ENTRY DENIED","ENIRO MALPERMESITA"
"text:stamp_approved","APPROVED","PERMESITA"
"text:stamp_denied","DENIED","MALPERMESITA"
"text:stamp_reason","REASON","KIALO"
"text:booth_dragdocs","DRAG DOCUMENTS HERE","TRENI DOKUMENTOJN TIEN"
"text:booth_highlight","HIGHLIGHT DISCREPANCIES","MARKI MALAKORDOJN"
"text:booth_discrepancy","DISCREPANCY
DETECTED","MALAKORDO DETEKTITA"
"text:booth_interrogate","INTERROGATE","EKZAMENADI"
"text:booth_matching","MATCHING
DATA","AGORDAJ
DATOJ"
"text:booth_nocorrelation","NO
CORRELATION","NENIU
KORELATIVECO"
"text:booth_cleared","DISCREPANCY
CLEARED","MALAKORDO
KLARIGITA"
"text:env_clearforentry","Applicant clear for entry","Petanto aprobita por eniro"
"text:env_lettermale","M","M"
"text:env_letterfemale","F","F"
"text:env_noalias","No known alias","Neniu konata kasxnomo"
"text:env_typochars","aeiou,iuy,pgq,lj,ck,bh","aeiou,iu,pgq,lj,ck,bh"
"text:endless_complete","$style
$course

$time
$score Points","$style
$course

$time
$score Poentoj"
"text:endless_ranked","Ranked #$0","Rankita #$0"
"text:endless_unlock","Complete story mode with your job intact to unlock endless mode","Finigu rakonto-reĝimon ankoraŭe dungita por  malŝlosi senfino-reĝimon"
"text:endless_wrongcode","S O R R Y","E R A R A"
"text:date_verbose","$month $day, $year","la $day de $month $year"
"text:month_1","January","januaro"
"text:month_2","February","februaro"
"text:month_3","March","marto"
"text:month_4","April","aprilo"
"text:month_5","May","majo"
"text:month_6","June","junio"
"text:month_7","July","julio"
"text:month_8","August","aŭgusto"
"text:month_9","September","septembro"
"text:month_10","October","oktobro"
"text:month_11","November","novembro"
"text:month_12","December","decembro"
"text:day_1","1st","1a"
"text:day_2","2nd","2a"
"text:day_3","3rd","3a"
"text:day_4","4th","4a"
"text:day_5","5th","5a"
"text:day_6","6th","6a"
"text:day_7","7th","7a"
"text:day_8","8th","8a"
"text:day_9","9th","9a"
"text:day_10","10th","10a"
"text:day_11","11th","11a"
"text:day_12","12th","12a"
"text:day_13","13th","13a"
"text:day_14","14th","14a"
"text:day_15","15th","15a"
"text:day_16","16th","16a"
"text:day_17","17th","17a"
